Código,Descripción,Unidad,Cantidad,Precio Unitario
Bie053,BIELA KIT PULSAR135-PLATINA125-BM150 VINI,KIT,10,365.50
Bie063,BIELA KIT XCD125-PLATINA 125-DISCOVER 125 ST VINI,KIT,10,323.00
Bie040,BIELA KIT XL185-XL125-CG150-CG125 VINI,KIT,10,323.00
Bie048,BIELA KIT YBR125-XTZ125 VINI,KIT,10,331.50
Bie068,BIELA KIT YUMBO200-UM200-PULSAR180 VINI,KIT,5,408.00
BOB098,BOBINA DE ALTA CG-AKT TT150-EVO150 1 LINEA VINI,UNIDAD,20,119.00
BOB079,BOBINA DE MOTOR AKT CR5 VINI,UNIDAD,10,578.00
BOB058,BOBINA DE MOTOR CG 8X3 MOTOR VARILLA VINI,UNIDAD,10,408.00
BOB059,BOBINA DE MOTOR DISCOVER 125 ST VINI,UNIDAD,5,510.00
BOB073,BOBINA DE MOTOR GN125H-GXT200 VINI,UNIDAD,5,578.00
BOM039,BOMBA DE FRENO DELANTERA HJ125-GN125 BLANCA VINI,KIT,10,233.75
BOM046,BOMBA DE FRENO DELANTERA PULSAR 135-180-220 VINI,KIT,10,314.50
BOM066,BOMBA DE FRENO DELANTERA XL-GY200 NEGRA VINI,KIT,10,255.00
BOM087,BOMBA DE FRENO TRASERA COMPLETA PULSAR NS200-RS200-180-220 VINI,UNIDAD,10,254.15
BOM067,BOMBA DE FRENO TRASERA DAYUN150-CON DEPOSITO VINI,UNIDAD,10,272.00
BOM088,BOMBA DE LUBRICACION AX100 VINI,PAR,5,552.50
BOM044,BOMBA DE LUBRICACION CG150 39D C-ORING VINI,KIT,30,114.75
BOM073,BOMBA DE LUBRICACION YUMBO 200-YARA 200 37D VINI,UNIDAD,20,110.50
BUJ122,BOMBILLO DE PIDEVIAS 12V VINI,UNIDAD,100,5.06
BUJ081,BOMBILLO DE STOP 12V VINI,UNIDAD,100,7.23
BUC036,BUSHING DE TIJERA KIT + EJE AKT TT150-TT180 VINI,KIT,10,187.00
BUC059,BUSHING DE TIJERA KIT + EJE GY200-JH125L-XL185S VINI,KIT,10,144.50
BUC066,BUSHING DE TIJERA KIT + EJE RAYBAR 200 VINI,KIT,10,187.00
CAB193,CABLE ACELERADOR CG-WY VINI,UNIDAD,30,44.20
CAB211,CABLE ACELERADOR GIXXER 150 VINI,UNIDAD,20,72.25
CAB187,CABLE ACELERADOR GXT200 VINI,UNIDAD,20,44.20
CAB143,CABLE ACELERADOR PULSAR 135 VINI,UNIDAD,30,46.75
CAB144,CABLE ACELERADOR PULSAR180-220 VINI,UNIDAD,30,46.75
CAB212,CABLE CLUTCH CGL125 VINI,UNIDAD,20,46.75
CAB213,CABLE CLUTCH GN125H VINI,UNIDAD,20,55.25
CAB314,CABLE CLUTCH HJ125-7 VINI,UNIDAD,30,46.75
CAB131,CABLE CLUTCH XTZ125 (2012-2018) C-POLVERA VINI,UNIDAD,10,68.00
CAB190,CABLE CLUTCH YBR125 VINI,UNIDAD,20,83.30
CAB090,CABLE DE BOBINA ALTA UNIVERSAL ROLLO,UNIDAD,100,246.50
CAB156,CABLE FRENO YBR125 VINI,UNIDAD,10,83.30
CAD081,CADENA DE LUBRICACION RAYBAR200-RKS150 CONTRAPESA VINI,UNIDAD,20,59.50
CAD032,CADENA DE TIEMPO AKT CR5 VINI,UNIDAD,20,119.00
CAD094,CADENA DE TIEMPO APACHE 150-160-180 (409H 94L) VINI,UNIDAD,20,161.50
CAD095,CADENA DE TIEMPO CRF230-XT250 SERROW (2X3H 104L) VINI,UNIDAD,10,114.75
CAD062,CADENA DE TIEMPO PULSAR NS200-AS200-RS200(94L) VINI,UNIDAD,20,161.50
CAD074,CADENA DE TIEMPO SCOOTER-150F-22 (90L) VINI,UNIDAD,20,127.50
CAD071,CADENA DE TIEMPO XTZ125-YBR125 2006 2X3L 90L ORUGA VINI,UNIDAD,20,127.50
CAD096,CADENA DE TIEMPO YUMBO200 (3X4H 100L) VINI,UNIDAD,20,144.50
CAD061,CADENA DE TRACCION 520X120L EXTRA REFORZADA DORADA VINI,UNIDAD,20,344.25
CAJ001,CAJA DE CAMBIOS AKT180TT-CR5 (6 CAMBIOS) VINI,KIT,5,1249.50
CAJ023,CAJA DE CAMBIOS CG125-CG150-AKT 150 VINI,KIT,5,935.00
CAJ029,CAJA DE CAMBIOS CG200-RAYBAR200-250-UM200-CONTRAPESA VINI,KIT,5,1190.00
CAJ046,CAJA DE CAMBIOS GXT200 VINI,KIT,5,2125.00
CAJ047,CAJA DE CAMBIOS PULSAR NS125-BOXER150X MODERNA VINI,KIT,2,1377.00
ARA050,CANASTA CLUTCH AKT CR5-TT 180 (SOLA) VINI,UNIDAD,10,442.00
ARA051,CANASTA CLUTCH CG125-CG150-RKS150 73T COMPLETA VINI,KIT,5,637.50
DIR326,CAPA CUBRE MOTO PREMIUM UNIVERSAL VINI,UNIDAD,3,382.50
JUB024,CARBONES MOTOR ARRANQUE CBF150-XR150L VINI,KIT,20,55.25
JUB040,CARBONES MOTOR ARRANQUE CG125-150-200 VINI,KIT,20,55.25
JUB028,CARBONES MOTOR ARRANQUE GXT200-GN125 VINI,KIT,20,68.00
JUB041,CARBONES MOTOR ARRANQUE PULSAR NS200 VINI,KIT,20,55.25
CAR050,CARBURADOR CG150 PZ27 VINI,UNIDAD,10,459.00
CAR047,CARBURADOR CG200-XL200-DAKAR200 VINI,UNIDAD,10,484.50
CAR069,CARBURADOR GIXXER 150 VINI,UNIDAD,10,1955.00
CAR070,CARBURADOR SCOOTER GY6150 VINI,UNIDAD,5,756.50
CAR046,CARBURADOR XL125-185-CG125 VINI,UNIDAD,10,467.50
CDI027,CEPO PARA CEREBRO REDONDO 6L (2PCS) VINI,PAR,50,16.15
CDI049,CEREBRO CDI AK CR5-AK180 TT-180CRX VINI,UNIDAD,3,165.75
CDI051,CEREBRO CDI DAYUN 150 CUADRADO CORRIENTE DIRECTA C-CABLE VINI,UNIDAD,30,165.75
CDI053,CEREBRO CDI GXT200-GN125H-DR200 8L D-C VINI,UNIDAD,5,433.50
CDI032,CEREBRO CDI NXR125 REDONDO CORRIENTE DIRECTA C-CABLE VINI,UNIDAD,20,161.50
CDI034,CEREBRO CDI PULSAR 135 VINI,UNIDAD,5,408.00
CDI055,CEREBRO CDI PULSAR150-180 UG4,UNIDAD,5,357.00
CDI059,CEREBRO CDI YBR 125 VINI,UNIDAD,5,280.50
CIL086,CILINDRO COMPLETO AKT TTR150-EVO 150NE BULON 13 62M VINI,KIT,10,1054.00
CIL160,CILINDRO COMPLETO APACHE 160 RTR 62M 15M 2V VINI,KIT,3,1419.50
CIL094,CILINDRO COMPLETO CG125-HJ125-7 56M-15M VINI,KIT,8,977.50
CIL087,CILINDRO COMPLETO CG150 GRIS BULON 15 62-15M VINI,KIT,8,1079.50
CIL144,CILINDRO COMPLETO CG200 63.5MM-15M VINI,KIT,8,1122.00
CIL161,CILINDRO COMPLETO CRF230-LONCIN250 SX3-TRUENO GRIS 65.5-15B VINI,KIT,2,1487.50
CIL162,CILINDRO COMPLETO GY6150 SCOOTER 57-15M VINI,KIT,5,918.00
CIL166,CILINDRO COMPLETO JH125-WY125 CADENA ALTA COMPRESION 56.5-B15 VINI,KIT,5,1096.50
CIL163,CILINDRO COMPLETO LUCKY110 HJ110 52-13 VINI,KIT,3,892.50
CIL143,CILINDRO COMPLETO PLATINA 125 14-54M-2V VINI,KIT,5,1326.00
CIL146,CILINDRO COMPLETO PULSAR 135 54MM-14B-4V VINI,KIT,10,1185.75
CIL138,CILINDRO COMPLETO RAYBAR 250 NEGRO 65.5MM-15M VINI,KIT,5,1190.00
CIL164,CILINDRO COMPLETO SCOOTER 125 52-15 VINI,UNIDAD,5,833.00
CIL129,CILINDRO COMPLETO UM200-RAYBAR200 67MM GRIS 16B VINI,KIT,3,1232.50
CIL165,CILINDRO COMPLETO WY150-JH150 62MM-15 VINI,KIT,5,1105.00
CUN038,CUNAS DE POSTE CG-XL125-XL185-AKT125 CONICA VINI,KIT,30,76.50
CUN039,CUNAS DE POSTE CG-XL125-XL185-AKT125 REDONDA VINI,KIT,30,76.50
CUN042,CUNAS DE POSTE HJ110 LUCKY VINI,KIT,20,97.75
CUN056,CUNAS DE POSTE NXR-BROS CONICA VINI,KIT,20,106.25
CUN054,CUNAS DE POSTE NXR-BROS REDONDA VINI,KIT,20,106.25
DEL054,DISCOS DE CLUTCH CG125-150-YBR125 5PCS VINI,KIT,20,106.25
EMM080,EMPAQUES DE MOTOR KIT CG150 VINI,KIT,30,106.25
EMM062,EMPAQUES DE MOTOR KIT GXT200 VINI,KIT,20,182.75
EMM102,EMPAQUES DE MOTOR KIT GY200-YUMBO 69MM VINI,KIT,30,174.25
EMM092,EMPAQUES DE MOTOR KIT PULSAR 135-DISCOVER 150 VINI,KIT,30,97.75
DES029,EMPAQUES DESCARBONADO DAKAR 200 69MM VINI,PAR,30,51.00
DES045,EMPAQUES DESCARBONADO PULSAR 135 VINI,PAR,30,38.25
ENG013,ENGRANAJE DE ARRANQUE + BALINERA CG200 MULTIBALINES VINI,KIT,15,476.00
ENG047,ENGRANAJE DE ARRANQUE + BALINERA GENESIS RKS150 VINI,UNIDAD,15,297.50
FRI045,FRICCIONES HJ125-GXT200 VINI,PAR,20,131.75
FRI038,FRICCIONES PULSAR-BOXER-DISCOVER VINI,PAR,20,131.75
FUS003,FUSIBLE 15 AH GAVETA (100 UND) VINI,UNIDAD,200,1.61
FUS004,FUSIBLE 20 AH GAVETA (100UND) VINI,PAR,200,1.61
FUS005,FUSIBLE 25 AH GAVETA (100 UND) VINI,UNIDAD,200,1.61
FUS006,FUSIBLE 30 AH GAVETA (100UND) VINI,PAR,200,1.61
GUA134,GUARDAFANGO WR250F-YZ250F UNIVERSAL AZUL VINI,UNIDAD,3,289.00
GUA135,GUARDAFANGO WR250F-YZ250F UNIVERSAL BLANCO VINI,UNIDAD,3,289.00
GUA136,GUARDAFANGO WR250F-YZ250F UNIVERSAL NEGRO VINI,UNIDAD,3,289.00
CPI037,GUIAS DE TIEMPO (CEPILLOS) CBF150-TITAN150-DAYUN 150GY VINI,PAR,20,106.25
CPI019,GUIAS DE TIEMPO (CEPILLOS) PULSAR 135 VINI,PAR,20,93.50
VAL016,GUIAS DE VALVULAS CG125-150-200 CORTA RACING MODIFIC VINI,PAR,10,85.00
VAL088,GUIAS DE VALVULAS CG125-CG200-300 VINI,PAR,20,55.25
INI055,IGNICION AKT NKD125-SERPENTO CORAL150-TAYPAN VINI,UNIDAD,10,106.25
MDC098,IGNICION HAYATE VINI,UNIDAD,5,136.00
LAV044,LLAVE DE COMBUSTIBLE AKT -XL GRUESA VINI,UNIDAD,20,63.75
LAV047,LLAVIN DE TAPADERAS LATERALES YBR125-DT175-XTZ125 VINI,PAR,10,55.25
MDO073,MANDO DER START PULSAR 135 VINI,UNIDAD,10,272.00
MDO074,MANDO DER START PULSAR NS200 VINI,UNIDAD,10,497.25
MDO036,MANDO DER START WY125-RAYBAR VINI,UNIDAD,10,127.50
MDO075,MANDO IZQ LUCES GXT200 VINI,UNIDAD,10,136.00
MDO076,MANDO IZQ LUCES PULSAR 135 VINI,UNIDAD,10,263.50
MDO077,MANDO IZQ LUCES PULSAR NS200 VINI,UNIDAD,10,497.25
MCI074,MANECILLA DE CLUTCH HJ125-WY COMPLETA VINI,UNIDAD,50,93.50
MGA024,MANGUERA DE FRENO DELANTERA GXT200 VINI,UNIDAD,10,134.30
MGA013,MANGUERA DE FRENO TRASERA 60CM UNIVERSAL VINI,UNIDAD,10,119.00
MOT047,MOTOR DE ARRANQUE AG200-XT225 VINI,UNIDAD,2,1228.25
MOT050,MOTOR DE ARRANQUE CGL125-HJ125 9 DIENTES VINI,UNIDAD,5,722.50
MOT025,MOTOR DE ARRANQUE GXT200-GN125-EN125 VINI,UNIDAD,5,705.50
PAL035,PEDAL DE CAMBIOS HJ125-7 VINI,UNIDAD,5,204.00
PAT027,PEDAL DE ENCENDIDO AKT TT150-TT180-TT200-GENESIS SX200-SX250 VINI,UNIDAD,10,187.00
PAT028,PEDAL DE ENCENDIDO GXT200 VINI,UNIDAD,10,136.00
PAT029,PEDAL DE ENCENDIDO HJ125 VINI,UNIDAD,10,173.40
PIS197,PISTON COMPLETO AG200-UM200-RAYBAR200 STD 67MM-B16 VINI,KIT,10,404.60
PIS166,PISTON COMPLETO AKT CR5-CUPULA 200 STD B15 63 VINI,KIT,10,303.45
PIS193,PISTON COMPLETO AKT EVO 150NE-TT150 (B13) 62MM VINI,UNIDAD,10,280.50
PIS198,PISTON COMPLETO APACHE 160 STD 62M-15-2V VINI,UNIDAD,5,314.50
PIS199,PISTON COMPLETO APACHE 180 RTR STD 2V-B15-62.5 VINI,PAR,5,382.50
PIS145,PISTON COMPLETO CG125-WY125 (56MM*B15MM) STD VINI,KIT,10,216.75
PIS146,PISTON COMPLETO CG150-WY150 (62MM*B15MM) STD VINI,KIT,5,255.00
PIS147,PISTON COMPLETO CG200-WY200-XL200 (63.5MM*B15MM) STD VINI,KIT,10,272.00
PIS153,PISTON COMPLETO DAYUN150-CBF150-RTX STD B14-57MM VINI,KIT,10,272.00
PIS152,PISTON COMPLETO MODIFICADO CG200 63.5MM-B15 CON CUPULA RACING VINI,KIT,5,420.75
PIS148,PISTON COMPLETO PULSAR 135 STD 54MM-B14 VINI,KIT,10,297.50
PIS162,PISTON COMPLETO PULSAR 180 STD 63.5MM-B16 VINI,KIT,5,331.50
PIS163,PISTON COMPLETO PULSAR NS200-RS200-AS200 72MM-B17 STD VINI,KIT,5,408.00
PIS149,PISTON COMPLETO TORITO175-205 KIT LF200 B17-61MM VINI,KIT,15,331.50
PIT009,PITO UNIVERSAL DL128ZB VINI,UNIDAD,50,63.75
REC053,RECTIFICADOR 4L RAYBAR200 CON DIODO VINI,UNIDAD,20,158.95
REC055,RECTIFICADOR AKT 180-CR5- GENESIS LONCIN SX250 SX3 VINI,UNIDAD,5,212.50
REC056,RECTIFICADOR BOXER BM150 VINI,UNIDAD,5,212.50
REC057,RECTIFICADOR PULSAR 135 VINI,UNIDAD,5,346.80
RGL004,REGULADORES DE CADENA TRACCION BROSS150-XR150-AKT TT150-180 VINI,KIT,10,115.60
RGL005,REGULADORES DE CADENA TRACCION CG125-XL VINI,KIT,20,21.25
RGL006,REGULADORES DE CADENA TRACCION WY125-CGL125-AKT HUNTER 150 VINI,KIT,20,68.00
CCH009,RELAY DE ARRANQUE CG-WY VINI,UNIDAD,30,119.00
CCH017,RELAY DE ARRANQUE PULSAR 135-DISCOVER-RS200 VINI,UNIDAD,10,216.75
RET122,RETENEDORES DE BARRAS CG-AKT NKD 27-37-10.5 VINI,PAR,30,28.90
RET060,RETENEDORES DE BARRAS PULSAR NS200-PULSAR180-220 VINI,PAR,30,63.75
RET092,RETENEDORES DE BARRAS PULSAR135-DISC150-YBR125-2020-25 CRUX110-REV 30-42-10.5 VINI,PAR,30,38.25
RET115,RETENEDORES DE BARRAS SZ150-NAGA 200-JIALING150 33X46X10.5 VINI,PAR,30,46.75
RET090,RETENEDORES DE BARRAS XL-WY BOXER150 NS160-N160-NS125UG 31X43X10.5 VINI,PAR,50,42.50
RET065,RETENEDORES DE BARRAS YBR125-CRUX110(VIEJA)-RX100-HJ125-7 (30*40.5*10.5) VINI,PAR,30,42.50
OTR362,SELLOS DE VALVULAS EN125-GN125 VINI,PAR,50,25.50
OTR363,SELLOS DE VALVULAS TORITO LF200 RE205 VINI,PAR,30,25.50
SIN025,SINFIN DE VELOCIMETRO AKT TT150 VINI,UNIDAD,20,110.50
SIS016,SISTEMA ELECTRICO CG-DY125-ZS150 VINI,KIT,5,408.00
SIS023,SISTEMA ELECTRICO SX150 - AKT150TT-ZX150L VINI,UNIDAD,5,535.50
SPR175,SPROCKET KIT AKT 150NE EVO 428H 41TX15T + 120L COMPLETO VINI,KIT,10,391.00
SPR209,SPROCKET KIT AKT SL-NKD-EVO-SERPENTO CORAL-COBRA 428H 38X15T + 130L COMPLETO VINI,KIT,10,416.50
SPR309,SPROCKET KIT AKT SL-NKD-EVO-SERPENTO CORAL-COBRA 428H 42X15T + 130L COMPLETO VINI,KIT,10,442.00
SPR310,SPROCKET KIT FZ16 428H 40T X 14T + 132L COMPLETO VINI,KIT,5,442.00
SPR255,SPROCKET KIT PULSAR 135 428H 43X15T + 130L DORADA COMPLETO VINI,KIT,10,493.00
SPR268,SPROCKET KIT PULSAR NS200 428H 45X15T + 136 DORADA RACING COMPLETO VINI,KIT,10,544.00
SPR311,SPROCKET KIT XR150L 428H 49T X 17T + 136L COMPLETO VINI,KIT,5,493.00
SPR126,SPROCKET TRASERO CGL125 428H 38T CONCAVO VINI,UNIDAD,10,123.25
BUJ257,STOP TRASERO GN125H,UNIDAD,3,306.00
TPO075,TAPON DE TANQUE PULSAR 135 VINI,UNIDAD,10,399.50
TEN021,TENSOR AUTOMATICO BOXER BM150-BM100-PULSAR 135 GRIS VINI,UNIDAD,10,122.83
VAL089,VALVULAS DE MOTOR CG125-HJ125-7 (5MM) VINI,PAR,30,178.50
VAL090,VALVULAS DE MOTOR CG150-AKT TT150-EVO150 VINI,PAR,30,195.50
VAL091,VALVULAS DE MOTOR CG200 (5MM) VINI,PAR,30,229.50
VAL145,VALVULAS DE MOTOR CG250-RAYBAR250 HI RPM ALTO CARBONO VINI,PAR,10,263.50
VAL092,VALVULAS DE MOTOR CG250-YUMBO250-RAYBAR250 VINI,PAR,10,238.00
VAL134,VALVULAS DE MOTOR DISCOVER 125 ST 4PCS VINI,KIT,10,297.50
VAL150,VALVULAS DE MOTOR HONDA NAVI-CB1 VINI,PAR,10,204.00
VAL097,VALVULAS DE MOTOR PULSAR 135 4PZS VINI,PAR,20,306.00
VAL148,VALVULAS DE MOTOR PULSAR 180 VINI,PAR,10,280.50
VAL147,VALVULAS DE MOTOR SCOOTER 150 VINI,PAR,10,212.50
VAL178,VALVULAS DE MOTOR SCOOTER GY6 125 VINI,PAR,10,136.00
VAL149,VALVULAS DE MOTOR SUZUKI AN125 VINI,PAR,10,255.00
VAL079,VALVULAS DE MOTOR SUZUKI AX4 VINI,PAR,10,229.50
VAR022,VARILLA DE FRENO CG125-TAYPAN-NKD125 VINI,UNIDAD,20,34.00
VAR023,VARILLA DE FRENO YBR125ED-G VINI,UNIDAD,10,46.75
VAR016,VARILLAS DE EMPUJE ALUMINIO CG150-AKT TT150-EVO-XM20 VINI,PAR,30,68.00
VAR017,VARILLAS DE EMPUJE ALUMINIO CG-GY200-XM 200 VINI,PAR,20,68.00
